latency,packet_size,login_attempts,error_rate,country,label
35,2362,3,0.0006676998595420147,Japan,1
1012,99149,36,0.9791424886202793,Brazil,-1
1017,95211,48,1.0869084851746227,China,-1
35,1514,1,0.008988545805946593,Denmark,1
55,2678,2,0.00840552890222278,Denmark,1
44,3057,3,0.008856358649400233,Brazil,1
49,3133,3,0.007361166672321553,Brazil,1
33,3858,1,0.009513960053866267,USA,1
43,2641,3,3.0397764405830016e-05,India,1
53,2221,3,0.00945945637722265,USA,1
54,3185,1,0.009861280332244045,USA,1
943,74452,63,0.7238859221196174,Brazil,-1
48,3040,1,0.007987519210791863,India,1
59,2437,3,0.009757408448275141,USA,1
38,3120,2,0.016516358287953687,Brazil,1
50,3627,2,0.00870047495569669,India,1
43,3514,3,0.006267003263577051,India,1
41,3560,2,0.008747154934837815,Denmark,1
40,3170,3,0.011020371658667595,India,1
58,2677,3,0.008876611852864154,India,1
54,2389,1,0.015531215360111584,Brazil,1
725,93691,92,0.732886834193121,Unknown,-1
46,3328,2,0.011184386165346623,Denmark,1
58,3038,1,0.007429238660413124,Brazil,1
42,2194,1,0.017828545436285544,Japan,1
49,2701,1,0.007131062701025792,Denmark,1
44,3141,3,0.007744628907006628,Denmark,1
38,2762,3,0.011164793025090342,India,1
47,3215,1,0.001742654012135596,USA,1
47,2464,3,0.00935547217272183,Japan,1
52,2764,2,0.01166220827170652,India,1
46,2953,1,0.014354724564750178,Denmark,1
43,2966,1,0.010785033030343935,Japan,1
48,3405,2,0.011696540667819985,Japan,1
54,3569,2,0.010486795780363128,Denmark,1
44,3284,2,0.004927963593711098,Denmark,1
57,2814,3,0.0035095447279972674,India,1
51,2851,1,0.011218420597931968,Brazil,1
49,2433,3,0.014826516680609301,USA,1
43,2529,1,0.005052858859467748,Denmark,1
45,2975,1,0.002864108382026215,Brazil,1
42,3002,2,0.009048387758907999,India,1
49,3970,2,0.01083977154892522,Denmark,1
56,3112,1,0.004750414014300447,Brazil,1
48,2423,2,0.007582597816810389,USA,1
30,3057,2,0.00905003790118691,India,1
45,3359,2,0.01517264906537591,Japan,1
831,84567,25,0.9968699567120749,Russia,-1
47,2809,1,0.00413238463714005,Brazil,1
28,3155,1,0.010620298632280162,USA,1
48,3070,1,0.01352924890266132,USA,1
66,2599,2,0.010035382619005256,Japan,1
47,3324,2,0.011569701837212032,Brazil,1
39,2571,1,0.009724347234900536,Japan,1
39,3199,3,0.0011967214087782625,Denmark,1
49,3200,2,0.013278125669232968,Denmark,1
41,3556,3,0.00620506169374173,Denmark,1
32,1668,1,0.011547668165274628,Denmark,1
857,93996,80,0.7881255427297751,Unknown,-1
48,2075,1,0.005891165626679106,India,1
51,3365,2,0.002591712255358645,India,1
53,2677,2,0.016813733336030152,Brazil,1
42,2896,1,0.007732233116343067,Japan,1
37,2654,2,0.006841503742169243,Japan,1
51,3060,1,0.0023498221287494405,Japan,1
45,2729,3,0.012744997437729142,Denmark,1
35,3263,1,0.02139203144633478,India,1
48,3794,1,0.008222962611710152,Brazil,1
55,2705,3,0.007553857084668698,Japan,1
44,3789,2,0.0026062116623029,Japan,1
36,2943,1,0.013981899781626127,India,1
810,73163,23,0.9907256272582454,China,-1
38,3307,1,0.003982247298916647,Brazil,1
35,3663,1,0.015080822104143833,India,1
42,3441,1,0.013012534798597316,Denmark,1
55,3240,2,0.003280286454060457,USA,1
53,2960,1,0.009783778682843882,India,1
38,2795,2,0.0044060330014084395,India,1
47,3226,3,0.013203040572319942,Brazil,1
686,109667,68,0.688560222884615,Russia,-1
47,2564,3,0.004074159999190483,Brazil,1
62,2945,1,0.011309117738958463,Brazil,1
42,2859,1,0.012907302199122709,Denmark,1
56,3581,2,0.00796019291637886,Brazil,1
48,3191,3,0.005061274994501768,Japan,1
50,3284,2,0.0072611835119012515,Japan,1
51,3466,3,0.018448169047459665,India,1
832,89706,94,0.9187052736980906,China,-1
58,3439,3,0.0035760630483920985,Brazil,1
54,3351,2,0.003879719280816104,Brazil,1
27,2978,3,0.010406055647209986,Brazil,1
43,2941,2,0.00695062125502627,Denmark,1
49,2898,2,0.01235082561848147,Brazil,1
48,3746,2,0.003275547481525261,Japan,1
40,2864,2,0.006933554481207729,India,1
61,2778,1,0.003266835008789104,Brazil,1
53,2169,1,0.007939156352632195,Denmark,1
15,3471,3,0.0009916936254834845,Denmark,1
46,2713,2,0.019153791535737458,USA,1
53,2674,2,0.007070317216685932,India,1
37,2877,2,0.011110881244029584,USA,1
53,3785,3,0.01391444475946614,Brazil,1
47,4113,2,0.00966161516069846,Denmark,1
40,2689,1,0.007000822655082875,Denmark,1
45,2626,3,0.016695285586744435,USA,1
45,3441,2,0.007340598556223955,Japan,1
53,3760,1,0.004756255067391745,Brazil,1
46,3150,1,0.010253949188576252,India,1
37,3021,3,0.02010281263328117,USA,1
31,3255,3,0.00319311021648902,Japan,1
41,2697,3,0.010995136325947636,Denmark,1
48,2564,1,0.0024299530599621597,Denmark,1
650,104257,89,0.8034371854848315,Brazil,-1
36,3372,2,0.01820646999908538,Denmark,1
43,3759,1,0.01778259580252654,Denmark,1
58,4104,3,0.0013550520609053023,USA,1
60,2969,1,0.008743958219186198,Japan,1
50,2668,3,0.009121881665695471,Japan,1
67,3110,3,0.00880865663997286,Brazil,1
41,2812,1,0.0020255385236411863,Denmark,1
50,2512,2,0.013705084628453011,Brazil,1
984,95463,56,0.981308606685494,Unknown,-1
22,3117,2,0.001875987974133327,USA,1
43,3458,3,0.009105949710815582,India,1
649,110609,56,0.6839513793804146,Brazil,-1
46,3754,1,0.0005006709257240911,USA,1
29,3574,1,0.015542633515629137,India,1
527,92739,84,0.9204447715950053,Unknown,-1
50,3185,3,0.009232114097523789,Denmark,1
996,100249,58,0.9324747082796325,Unknown,-1
47,2400,1,0.004491273508449168,Denmark,1
37,3180,3,0.020497001334968568,Denmark,1
971,80970,91,0.8427795581600616,Unknown,-1
35,2867,3,0.014317552226840124,India,1
37,2750,2,0.008996863444264652,Brazil,1
65,2753,3,0.016557668596793973,Brazil,1
53,3381,3,0.012076584259663965,Japan,1
49,2248,3,0.008879205424801402,USA,1
55,3033,1,0.01477440865364275,USA,1
870,92661,58,0.8591104909343741,Brazil,-1
43,3119,3,0.01720134477607507,Denmark,1
44,2730,1,0.014511442081816973,Denmark,1
53,3132,1,0.012731185514370262,India,1
48,3741,3,0.011762432224783986,Japan,1
49,2927,1,0.004073643367161401,Denmark,1
643,86574,70,0.8424527443275225,China,-1
30,3084,1,0.00747843477660639,Japan,1
35,2421,3,0.019562166369680042,India,1
50,2926,1,0.003387361067900524,India,1
50,2503,1,0.007154947426771746,Brazil,1
69,3846,2,0.01159345581439144,Japan,1
18,2957,1,0.00911297484355017,USA,1
53,3274,3,0.012184517117127017,Brazil,1
60,3501,3,0.013534819028106071,Japan,1
69,2741,1,0.020784329208137726,Brazil,1
53,2132,3,0.007886897933494426,Brazil,1
43,3210,1,0.014032194600640596,Japan,1
30,2656,3,0.01212857480912766,Japan,1
52,2754,1,0.0045432828330985485,Denmark,1
1267,116359,64,0.7425148547814104,Brazil,-1
53,3203,2,0.0010461160157269299,Japan,1
48,2800,2,0.011049136406413867,Denmark,1
36,3134,1,0.007433229621692946,Denmark,1
42,3168,1,0.016107565215334605,Denmark,1
42,3027,1,0.015949171659951522,India,1
608,93985,57,0.8843393010362561,Russia,-1
821,103291,83,0.7677911173923462,Brazil,-1
48,2107,1,0.0038957759591924847,India,1
610,90371,63,0.6548751011809375,Russia,-1
46,3319,3,0.00754372562164727,Japan,1
41,2731,3,0.00832760285027843,India,1
71,2989,3,0.012239229084877828,Brazil,1
38,3296,2,0.0038749410488014713,USA,1
50,3555,1,0.006575776870950135,India,1
42,3221,1,0.01364074165278768,Brazil,1
46,3171,3,0.012494754883577212,Brazil,1
51,2333,1,0.006529523384177404,Denmark,1
61,2688,2,0.011954540408677373,Japan,1
42,2295,2,0.004044428452897536,India,1
50,3907,3,0.00015655965024507362,USA,1
54,3309,3,0.0008313283701962791,Brazil,1
53,2415,2,0.010708335699607408,USA,1
47,2792,1,0.0011472581920260669,Brazil,1
36,3221,1,0.005815428107952707,Brazil,1
26,3861,2,0.007226254663134188,USA,1
40,2400,2,0.013767368388976905,USA,1
44,3087,2,0.008693222058356593,India,1
59,3544,1,0.011549102737216486,Brazil,1
44,2854,3,0.016389068787758993,Denmark,1
48,3040,1,0.007695948160417535,USA,1
48,2517,1,0.014278723510676859,Japan,1
51,2868,1,0.012145080429198407,Japan,1
21,3890,3,0.018297181773445737,USA,1
41,3192,3,0.009462752624152781,India,1
845,85668,52,0.6933705404251597,China,-1
43,2355,3,0.0037717371480221794,USA,1
1021,76189,75,0.7783893840920467,Brazil,-1
817,98197,64,0.8186632301955696,Unknown,-1
44,3217,2,0.012522224833775629,India,1
49,3062,3,0.011979032246602647,USA,1
599,77863,24,0.9040723992855351,Unknown,-1
33,3926,1,0.004609366356215345,Denmark,1
53,3549,1,0.023661634612500346,USA,1
31,3310,3,0.013408103174292049,Japan,1
54,2658,2,0.016680227927637452,India,1
38,2524,2,0.009813806690423876,Denmark,1
31,3286,3,0.0067834711982007675,Japan,1
47,3415,2,0.019118187249715396,Brazil,1
510,101279,96,0.9669623113581514,Unknown,-1
36,3224,3,0.007926105066788258,USA,1
28,3596,1,0.0068173446944712526,India,1
59,3199,3,0.00935998874461652,Brazil,1
1064,101925,39,0.8790027053539258,Russia,-1
53,2850,3,0.005334088310267738,India,1
45,2989,1,0.01900061025140692,India,1
57,3506,1,0.015384012396948827,Brazil,1
30,3634,1,0.008727074125553591,USA,1
46,2914,3,0.009591185350889098,Brazil,1
25,2750,3,0.010441089620646377,Brazil,1
40,2905,1,0.006066653058646019,India,1
46,2742,2,0.009816246314837098,USA,1
48,3106,1,0.008933071138226145,Japan,1
45,1973,1,0.009170430242926676,USA,1
47,3579,1,0.007126099746337843,India,1
58,2755,1,0.012242027792153814,Japan,1
34,2794,1,0.012536611003010052,Japan,1
43,2893,1,0.008377596900588374,Denmark,1
55,2771,3,0.006610315946226176,Brazil,1
50,2727,3,0.00593593966116262,Denmark,1
56,2819,1,0.003952235796200347,India,1
53,3911,2,0.009758531471897638,Brazil,1
34,3480,1,0.009586140235383435,Denmark,1
47,2986,2,0.005655084095594774,USA,1
58,3227,3,0.01576451914568952,Japan,1
41,2647,3,0.014644361301529367,Japan,1
62,2852,3,0.002527116508434092,Denmark,1
43,2925,2,0.014275420462789718,Denmark,1
50,3122,2,0.01024441737475405,Denmark,1
26,3681,3,0.007075933682082121,USA,1
30,3739,1,0.008314034099364306,Denmark,1
1003,79053,43,0.882960616465916,Unknown,-1
30,3007,2,0.009375796105618985,USA,1
589,101197,100,0.7546200895657216,Brazil,-1
37,3292,3,0.011227809807955208,USA,1
825,85188,66,0.8597572899572709,China,-1
36,3525,3,0.009632004765488604,India,1
40,4150,2,0.007872779701495764,India,1
52,2865,1,0.005324408549608279,Brazil,1
56,2544,2,0.01142431939585845,India,1
36,3386,3,0.010369792816819913,USA,1
40,2796,3,0.00258006940603008,Brazil,1
58,3229,1,0.008128101239796518,India,1
44,3822,2,0.007939770671171437,Japan,1
39,3784,3,0.011084395275599575,Japan,1
725,101042,35,0.8467301027534524,China,-1
40,2184,2,0.008411557294547737,Japan,1
45,3533,2,0.001164679984602457,India,1
886,109306,70,0.816820675692762,Russia,-1
40,3402,1,0.009984673273700421,Denmark,1
40,2981,1,0.012717485807994186,USA,1
33,3097,3,0.009852473965504455,Denmark,1
41,2780,3,0.009836936357516392,Denmark,1
994,91020,73,0.7392581112044777,Brazil,-1
45,2391,1,0.008241755341784552,Brazil,1
896,88596,87,0.9067306782436104,Brazil,-1
51,2796,1,0.010318822161080776,Brazil,1
38,3381,3,0.0013238369052718593,USA,1
43,3433,3,0.015322103014748109,Denmark,1
34,3246,1,0.00828468677183471,Japan,1
39,3414,2,0.002289204417464663,Denmark,1
32,2506,1,0.014677717200837423,Japan,1
33,3072,3,0.015002091829124372,Brazil,1
827,78591,24,0.7534720730841568,Unknown,-1
50,3224,1,0.007887301297455025,Brazil,1
46,3822,3,0.01057663172836096,India,1
54,3453,1,0.008680166597867453,USA,1
45,2883,1,0.005319304350843423,Brazil,1
61,3536,1,0.00985574010042025,Japan,1
43,3346,3,0.014950576884637856,Japan,1
56,3052,2,0.01494172519461261,Japan,1
47,2326,1,0.008942980800611112,USA,1
55,3012,1,0.01114506046435904,USA,1
50,3091,3,0.0033777612432891665,India,1
37,2917,1,0.017763810528509574,USA,1
52,2399,2,0.011890751544519905,USA,1
664,90946,54,0.9034315627409406,Brazil,-1
42,3368,3,0.005732119282383143,Brazil,1
37,3206,3,0.004896809681040406,Brazil,1
511,82084,98,0.9961614071059751,Brazil,-1
494,101508,39,0.865395715961122,China,-1
40,3446,3,0.013098146862331057,Brazil,1
36,3312,1,0.01647012376994213,USA,1
63,3085,2,0.021163538406921915,USA,1
40,2710,1,0.006165126840942033,Brazil,1
747,91629,31,0.6080287660023762,Unknown,-1
45,2874,3,0.016258415653873398,Brazil,1
522,95451,21,0.9096550669533843,Brazil,-1
32,2316,1,0.011027644947875774,Denmark,1
39,2365,1,0.020550592791907202,USA,1
52,3961,3,0.016988225720317156,Brazil,1
874,76410,65,0.9072163472122199,China,-1
45,2850,1,0.009721842848788617,Brazil,1
39,2410,1,0.012798859542640663,Brazil,1
51,3260,2,0.01483959405825336,Brazil,1
47,3057,1,0.0026303803379355006,Brazil,1
37,3203,1,0.010047509822313458,Japan,1
31,1694,2,0.005114484835388417,India,1
60,3977,1,0.02100176748287725,Brazil,1
42,3132,1,0.003468511618260519,USA,1
60,2675,3,0.008247597233193411,USA,1
55,3290,2,0.010479119783360325,Brazil,1
55,3074,3,0.003886366165069816,India,1
52,2096,3,0.00895669792056536,USA,1
38,2161,3,0.015233496395786849,Japan,1
51,3433,3,0.005724609595019151,Denmark,1
21,2985,3,0.012220735777704859,India,1
39,2647,3,0.02012511646274832,India,1
53,2788,3,0.014789563387462401,Brazil,1
23,2608,2,0.005996310520265378,USA,1
37,3531,1,0.013416395818923614,India,1
47,2429,2,0.0048095165638116465,USA,1
789,88387,66,0.809366711638461,Unknown,-1
890,90636,64,0.8951016712033313,Brazil,-1
52,2873,3,0.009655916026238808,India,1
56,3732,2,0.006065209190789329,India,1
50,3181,3,0.01780248472612449,USA,1
47,2551,2,0.0036527545536298098,India,1
43,3318,3,0.013375559719675195,Denmark,1
49,3609,1,0.0157706533778374,Denmark,1
53,3028,2,0.01447987576397541,USA,1
47,3026,3,0.0036058638342471687,Brazil,1
44,3637,1,0.014713523262348609,Japan,1
33,3428,1,0.01514098476198819,Japan,1
48,2576,1,0.007910143817860094,Denmark,1
42,3079,2,0.0007176873958994918,India,1
42,3386,2,0.003849254643655896,Brazil,1
34,2317,3,0.012852553208531247,Denmark,1
50,2615,3,0.006955242884111532,India,1
623,98794,36,0.8545187811654746,China,-1
28,2910,3,0.00689424298929777,USA,1
38,3426,1,0.012346992552432655,Japan,1
48,3478,3,0.004403992964887169,USA,1
35,2848,1,0.006629221851679244,Japan,1
49,2375,1,0.012535811689868243,Denmark,1
43,3182,2,0.020485728132390767,India,1
49,3822,1,0.014786416050936384,Denmark,1
48,3513,3,0.01525313337843649,India,1
46,3264,3,0.011225828816320888,USA,1
48,2803,1,0.010118823020377862,Brazil,1
45,2810,3,0.01269617799421693,USA,1
43,3637,1,0.007787112554832556,Japan,1
45,3350,1,0.01579326136865026,Japan,1
1027,87611,96,0.9741769011595154,China,-1
45,2900,3,0.0024483104220370143,Japan,1
38,2529,3,0.00711143144526294,Denmark,1
51,3478,2,0.014769302313704727,India,1
49,2093,3,0.006144083828692429,Brazil,1
58,3320,1,0.011231262418380907,India,1
45,3203,1,0.005542037686125431,Denmark,1
41,2948,3,0.006246474348056216,Denmark,1
47,2542,2,0.008751410499488988,Japan,1
1090,80155,95,0.8045505841910258,Brazil,-1
49,2878,3,0.01964791501538883,Brazil,1
42,1874,1,0.012611854716181642,Denmark,1
45,3893,3,0.008440260846803674,India,1
1030,91630,46,0.7700921967808207,Russia,-1
32,3071,2,0.012828512176147661,Denmark,1
52,3197,2,0.004451457419510748,Denmark,1
61,2662,3,0.010075357521064233,India,1
48,2354,1,0.008177434101509352,Brazil,1
46,2952,3,0.013854252033994877,USA,1
1238,104919,49,0.9148961826191766,Brazil,-1
50,3061,1,0.008805128162542235,Brazil,1
45,3233,1,0.009645411317669257,India,1
847,105712,79,0.7145211518266608,Brazil,-1
37,2920,2,0.008846424687228625,USA,1
43,2824,1,0.006995859762481358,Brazil,1
55,3097,3,0.011231443553379385,India,1
970,89541,59,0.9429286599999044,Russia,-1
46,3916,2,0.0010736280359181713,Brazil,1
48,3239,1,0.019768015257433325,Brazil,1
59,3250,1,0.00835777293423257,Denmark,1
26,3213,3,0.010809404315714302,Japan,1
37,2096,1,0.00834861657183508,India,1
50,3570,1,0.0073561632499147146,Denmark,1
25,2562,1,0.01183091419558849,Brazil,1
64,2924,2,0.009370602640943946,Japan,1
44,2249,3,0.02317211650959131,Brazil,1
42,3088,3,0.010949312855570235,USA,1
934,107452,52,0.8040465852321703,China,-1
33,4070,3,0.011238025979561604,USA,1
29,3166,3,0.015291030708620243,Denmark,1
40,2816,1,0.007085900704457625,Brazil,1
